"","84.42","","","698.2736"
"0.54","302.87","","",""
"","154.34","","","324.5684"
"","42.11","","",""
"0.35","153.52","","",""
"3.8","102.06","","","1351.4526"
"1.3","1330","","",""
"0.8","503","0.77","0.55","1500"
"0.18","266.1","","","7101.3365"
"","2009.5","","",""
"0.07","101.91","","","858.2421"
"","267.65","","","1200"
"","47.19","","",""
"0.22","623.2","","",""
"","2150","","","663.3158"
"","267.65","","","3300"
"","407.21","0.88","0.6","261.8526"
"","96.13","","","700"
"3.8","","","","794.2789"
"","151.15","","",""
"","635","0.52","0","540"
"","153.81","","","567.3473"
"0.27","153.52","","","390.0316"
"","778.92","0.5","0",""
"","476.74","","","218.2105"
"","304.25","","",""
"0.01","453.11","","",""
"","69.07","","","700"
"","328","","","302.7474"
"","600","","",""
"11.04","361","0.6","0.8","561.8526"
"","105","","","2500"
"","60.55","","",""
"","277.15","","","200"
"","471.84","","",""
"77.5","221.85","","",""
"","270.95","","","82919.99"
"","377.45","","",""
"3.1","182.6","","",""
"","324.68","","",""
"","1730","","",""
"0.2","153.52","","",""
